Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3qL63QvSTHvC4Uw8eEhz4z,"Supersonic (my existence)","Quest For Fire","Skrillex;Noisia;josh pan;Dylan Brady",2023-02-17,165372,60,false,,1970-01-01T00:00:00Z,"dubstep,edm,electro,electronic,hyperpop,glitch","OWSLA/Atlantic",0.555,0.676,9,-6.531,0,0.152,0.0144,0.00684,0.109,0.0649,85.889,4
spotify:track:0mwlZQjUxspUTpAzLwexw7,"P.O.V.","Let God Sort Em Out","Clipse;Tyler, The Creator;Pusha T;Malice",2025-07-11,258030,68,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.636,0.574,10,-10.915,0,0.195,0.0532,0,0.123,0.488,156.08,4
spotify:track:1VKWQgq0g2uKtgNfL0ceNM,"Perfect (Exceeder) - 1991 Remix","Perfect (Exceeder) [1991 Remix]","Mason;Princess Superstar;1991",2024-01-26,200086,55,false,,1970-01-01T00:00:00Z,"electroclash,drum and bass,liquid funk","Armada Music",0.689,0.903,1,-0.925,1,0.103,0.0118,0.691,0.0367,0.271,174.113,4
spotify:track:4ZdbgG1lzEJY5YFWomSnKZ,"Headway","Headway","Ashez;Gallium",2025-06-27,195403,44,false,,1970-01-01T00:00:00Z,"bass music,drumstep","Qualia",0.796,0.831,10,-5.16,0,0.0934,0.0581,0.872,0.122,0.708,140.048,4
spotify:track:0bhnFakmRioZbuQcmhVwoH,"The Spark","The Spark","Kabin Crew;Lisdoonvarna Crew",2024-06-13,146384,66,false,,1970-01-01T00:00:00Z,"","Rubyworks Ltd. / 95",0.841,0.864,6,-4.437,0,0.237,0.0531,0.00000575,0.204,0.647,173.931,4
spotify:track:3kYENrUwhbTu4iylBisph0,"Comedown","Comedown","Grafix;Andromedik",2024-02-09,156555,47,false,,1970-01-01T00:00:00Z,"drum and bass,liquid funk","Liquicity Records",0.54,0.969,9,-1.192,0,0.0394,0.0954,0.00333,0.119,0.721,173.905,4
spotify:track:2nVkaBHPUf8qrxDooNAHzE,"Lose Control","Lose Control","Fourward",2020-07-31,238588,44,false,,1970-01-01T00:00:00Z,"drum and bass,liquid funk","Elevate Records",0.441,0.926,6,-4.703,1,0.128,0.000504,0.0177,0.122,0.126,174.99,4
spotify:track:034Or1251K13U8kTi4dlLg,"You & Me - Flume Remix","Club House","Disclosure;Eliza Doolittle;Flume",2021-04-23,282812,30,false,,1970-01-01T00:00:00Z,"house,future bass","UME - Global Clearing House",0.599,0.392,10,-6.869,0,0.0257,0.378,0.000107,0.131,0.26,75.066,4
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Gangsta's Paradise","Gangsta's Paradise","Coolio;L.V.",1995-11-07,240693,87,false,,1970-01-01T00:00:00Z,"west coast hip hop,g-funk","Tommy Boy Music, LLC",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4
spotify:track:4jpiU50GLkAqZgwgQbSezT,"Step","Unbelievers","Vampire Weekend;Danny Brown;Heems;Despot",2014-03-03,261240,29,false,,1970-01-01T00:00:00Z,"indie,baroque pop,experimental hip hop,alternative hip hop","XL Recordings",0.586,0.748,10,-6.78,1,0.328,0.287,0,0.213,0.841,78.478,4
spotify:track:1JvQhXD5FxkK2GjHCyFmZa,"Ace Trumpets","Let God Sort Em Out","Clipse;Pusha T;Malice",2025-07-11,154066,65,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.782,0.847,11,-3.792,0,0.309,0.0533,0,0.409,0.742,142.161,4
spotify:track:6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u, next","Ariana Grande",2019-02-08,178626,86,true,,1970-01-01T00:00:00Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
spotify:track:1XvGtoO3ubLRFHXChk3Q1P,"BodyMove","Turn It Up EP","Eliminate",2025-09-12,143450,34,false,,1970-01-01T00:00:00Z,"dubstep,riddim,bass music,deathstep,bass house","Eliminate Music",0.591,0.999,4,-0.007,1,0.338,0.0052,0.471,0.362,0.491,173.977,4
spotify:track:4KNjK6R0aB4j8IT9LU0o6T,"Spellbound","Spellbound","oskar med k",2025-10-24,137790,76,false,,1970-01-01T00:00:00Z,"","7CULT powered by PULSE.CX",0.772,0.682,1,-6.504,0,0.428,0.641,0.138,0.211,0.331,128.977,4
spotify:track:7pK51270pGpambaHulqA9Y,"Titan","EXPOSURE 004","Hush",2025-05-02,226206,5,false,,1970-01-01T00:00:00Z,"","DeVice",0.418,0.954,11,-2.284,0,0.0351,0.000079,0.906,0.0932,0.351,173.982,4
spotify:track:7zTRvRbzMgFBaqQp864JPF,"Instinct","Instinct","ERBES",2025-08-29,199680,38,true,,1970-01-01T00:00:00Z,"riddim,dubstep,deathstep,bass music","WHY Z MUSIC",0.502,0.676,0,-7.58,1,0.0586,0.0124,0.0994,0.114,0.139,124.974,4
spotify:track:3PvhJcV5xv7E1ImIfbRYeM,"I Do Coke","OCCULT CLASSIC","Kill The Noise;Feed Me",2015-10-09,226973,48,true,,1970-01-01T00:00:00Z,"dubstep,melodic bass,edm,electro house,dub","OWSLA",0.774,0.895,11,-3.846,0,0.233,0.00224,0.0794,0.804,0.533,106.945,4
spotify:track:0xaQ86cGRgcF8wwP1SkXsb,"So Be It","Let God Sort Em Out","Clipse;Pusha T;Malice",2025-07-11,194866,69,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.502,0.681,2,-4.705,1,0.323,0.0581,0,0.312,0.651,85.282,4
spotify:track:0ySW1vdmqRwA95VvQOc0GC,"Falling","Falling","Camo & Krooked",2024-02-08,198857,43,false,,1970-01-01T00:00:00Z,"drum and bass,liquid funk,drumstep,dubstep","UKF",0.343,0.97,9,0.369,0,0.165,0.0112,0.0887,0.294,0.167,175.212,4
spotify:track:7EyhssM3gS5EwyrRpJ802Z,"Sock'em Bop'em","All In","Know Good",2025-07-07,178285,52,true,,1970-01-01T00:00:00Z,"","KNOW GOOD LLC",0.773,0.527,1,-5.947,1,0.279,0.301,0.0000487,0.126,0.318,140.03,4
spotify:track:1gPJ3F2p8rwhlzr1AF58W7,"Sientelo","Sientelo","Mefjus;Camo & Krooked",2021-08-31,290742,57,false,,1970-01-01T00:00:00Z,"drum and bass,drumstep,liquid funk,dubstep","UKF",0.528,0.934,1,0.42,1,0.168,0.00308,0.00614,0.084,0.41,174.91,4
spotify:track:3IwA24jZLqPW3tFCWpkr7S,"Swerve It","Swerve it","Bou;Camo & Krooked;Mefjus;Mila Falls;P Money;D Double E",2023-11-03,167314,51,true,,1970-01-01T00:00:00Z,"drum and bass,bassline,jungle,liquid funk,drumstep,dubstep,grime,uk grime","Gossip",0.649,0.941,1,-0.098,1,0.348,0.0309,0,0.637,0.693,175.154,4
spotify:track:3iXd1ZXMPJYAp37hCr441H,"All Things Considered","Let God Sort Em Out","Clipse;The-Dream;Pharrell Williams;Pusha T;Malice",2025-07-11,189266,61,true,,1970-01-01T00:00:00Z,"southern hip hop,r&b","Roc Nation Distribution",0.81,0.786,5,-4.491,0,0.287,0.0766,0.0000929,0.0917,0.658,80.958,4
spotify:track:26xlCgHpcF4GE0FFVsS6Oy,"Fly Kicks - Wax Motif Remix","Night Bass Remixed Vol. 1","AC Slater;Chris Lorenzo;Wax Motif",2017-07-07,278400,48,false,,1970-01-01T00:00:00Z,"bass house,bassline,g-house,uk garage,house,tech house","Night Bass Records",0.897,0.692,11,-4.985,0,0.0492,0.0187,0.725,0.0603,0.607,125.023,4
spotify:track:2kOdk4z9GlgxA7LSgTPb7S,"Von dutch","Brat and it’s completely different but also still brat","Charli xcx",2024-10-11,164284,47,true,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,4
spotify:track:0vMIb12OsAkLzYuuWixnka,"Supersonic - Basstripper Remix","Supersonic (Basstripper Remix)","Friction;Basstripper",2024-01-12,224232,45,false,,1970-01-01T00:00:00Z,"drum and bass,liquid funk,bassline","Elevate Records",0.596,0.927,1,-1.546,1,0.0558,0.0074,0.812,0.0553,0.176,174.982,4
spotify:track:2YHUlS8D0qH6GUUMNBHFgT,"Forever (feat. Malou & Yuna)","Forever (feat. Malou & Yuna)","HUGEL;Diplo;Malou;Yuna",2024-09-20,140500,70,false,,1970-01-01T00:00:00Z,"latin house,afro house,techengue,moombahton,melodic house,malay,malaysian pop","Insomniac Records",0.542,0.946,9,-6.046,0,0.0425,0.0312,0.641,0.107,0.23,120.037,4
spotify:track:0FXEclPDVfUNHYDiyAPXYP,"Drop In","Drop In","Mary Droppinz",2025-04-16,149793,48,false,,1970-01-01T00:00:00Z,"uk garage","Deadbeats",0.757,0.55,8,-7.935,0,0.0496,0.0646,0.0334,0.111,0.379,144.961,4
spotify:track:5XhsQnSiO6JPuiG4RPTugh,"By The Grace Of God","Let God Sort Em Out","Clipse;Pharrell Williams;Pusha T;Malice",2025-07-11,186026,58,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.653,0.685,2,-5.49,1,0.243,0.0173,0,0.0551,0.381,159.978,4
spotify:track:7HlbQCdVXgANsk2FMXICUs,"Diplodocus - Kill The Noise Remix","Split the Atom (Special Edition)","Noisia;Kill The Noise Remix",2012-04-09,164539,25,false,,1970-01-01T00:00:00Z,"drum and bass,drumstep,dubstep,breakbeat,jungle,bass music","Vision Recordings",0.619,0.968,6,-3.194,0,0.318,0.000646,0.027,0.291,0.274,171.869,4
spotify:track:51uRkSahJICiVwrPe7GgzY,"No Tomorrow (P Money x Whiney Remix)","No Tomorrow (P Money x Whiney Remix)","Camo & Krooked;Mefjus;P Money;Whiney;Sophie Lindinger",2024-02-22,249700,50,false,,1970-01-01T00:00:00Z,"drum and bass,liquid funk,drumstep,dubstep,grime,uk grime,bassline,jungle","Hospital Records",0.466,0.752,1,-3.49,1,0.0383,0.00449,0.0000634,0.19,0.0732,175.024,4
spotify:track:1jO3WNEmOGnOT3kwph4kxe,"Warrior Spirit","Warrior Spirit","HYPERLIGHT",2024-01-03,258000,17,false,,1970-01-01T00:00:00Z,"","High Vibe Records",0.602,0.935,1,-4.109,1,0.369,0.00707,0.00169,0.127,0.409,159.955,4
spotify:track:3znSvEwBq09We4cxxmwlZM,"Chains & Whips","Let God Sort Em Out","Clipse;Kendrick Lamar;Pharrell Williams;Pusha T;Malice",2025-07-11,243906,70,true,,1970-01-01T00:00:00Z,"southern hip hop,hip hop,west coast hip hop","Roc Nation Distribution",0.495,0.759,10,-5.155,0,0.286,0.183,0,0.298,0.6,92.76,4
spotify:track:1JFteRyORpC1dXMIKenftc,"Go Mode","Go Mode","INZO;Blookah;DijahSB",2025-06-27,232031,37,false,,1970-01-01T00:00:00Z,"future bass,hip house,jazz rap","Local Void",0.814,0.893,11,-4.983,1,0.159,0.012,0.0018,0.132,0.4,127.993,4
spotify:track:6kIwGkZQksciLIjIbM0NFo,"So Far Ahead","Let God Sort Em Out","Clipse;Pharrell Williams;Pusha T;Malice",2025-07-11,202066,60,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.659,0.797,2,-4.286,1,0.0559,0.163,0,0.0967,0.177,159.872,3
spotify:track:0pyjqTGLsrg1r6m5YR4tuq,"Home - Mind Against Remix","Home (Mind Against Remix)","Adriatique;Marino Canal;Delhia De France;Mind Against",2022-05-06,437647,45,false,,1970-01-01T00:00:00Z,"melodic techno,melodic house,afro house,techno,minimal techno","Siamese",0.651,0.744,7,-7.441,0,0.0314,0.0167,0.621,0.115,0.0372,119.995,4
spotify:track:0IsIY8pfu1yaGkPUD7pkDx,"Guess featuring billie eilish","Brat and it’s completely different but also still brat","Charli xcx;Billie Eilish",2024-10-11,143330,80,false,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.78,0.713,0,-4.493,1,0.0888,0.0167,0.206,0.144,0.615,130.034,4
spotify:track:1ZaP48UAQ78yRQ0spu4MUX,"Vital Signs","Vital Signs","Grafix;Nu-La",2025-05-02,226206,40,false,,1970-01-01T00:00:00Z,"drum and bass,liquid funk","Grafix Music",0.56,0.97,8,-0.056,1,0.0831,0.098,0.0409,0.467,0.401,173.981,4
spotify:track:4oudEMs5YRIVz9FqhlxpNs,"Spiralling","Spiralling","Mefjus;James French",2025-03-12,272361,40,false,,1970-01-01T00:00:00Z,"drum and bass,drumstep,deep house","MODUS",0.47,0.668,10,-0.487,0,0.0354,0.00753,0,0.14,0.145,86,4
spotify:track:13IFfr6kVUSLb19xnQjMk6,"Section","Section","LYNY",2025-07-25,174857,53,false,,1970-01-01T00:00:00Z,"bass music","Noxious Recordings",0.594,0.87,8,-3.826,1,0.0537,0.0719,0.000194,0.655,0.3,139.933,4
spotify:track:3fZd2UtWZMntClCSnJ7PDY,"M.T.B.T.T.F.","Let God Sort Em Out","Clipse;Pusha T;Malice",2025-07-11,156013,65,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.802,0.749,2,-4.296,1,0.304,0.156,0,0.204,0.7,88.916,4
spotify:track:6qJhrI2BMuA8qHcmycD3fL,"TESLA","TESLA","Mau P",2025-08-08,186818,65,true,,1970-01-01T00:00:00Z,"tech house,house","Insomniac Records",0.757,0.792,10,-5.507,1,0.044,0.000344,0.864,0.0663,0.708,132.014,4
spotify:track:7MGFtEfMe8WolDUfuZ474I,"Harmony","Harmony","rSUN",2025-03-07,236618,40,false,,1970-01-01T00:00:00Z,"bass music","Memory Palace",0.551,0.668,8,-4.719,0,0.0363,0.0666,0.85,0.119,0.0664,139.995,4
spotify:track:0TYpnpLfszFPlNqXd5OqPG,"Losing My Mind","Losing My Mind","Bronze Sun",2025-05-09,148965,23,false,,1970-01-01T00:00:00Z,"bass music","Liminal Bass Records",0.701,0.677,10,-6.082,0,0.0862,0.0531,0.0764,0.0777,0.292,145.03,4
spotify:track:66XKXxfXwNHfkuQ9JcOOyA,"God, Steve McQeen ""The Work Song""","Shave The Planet","Guttermouth",2006-08-26,204173,18,false,,1970-01-01T00:00:00Z,"skate punk,punk,ska punk,melodic hardcore,ska","Volcom Entertainment",0.434,0.927,0,-4.565,1,0.0886,0.0489,0,0.131,0.825,158.935,4
spotify:track:0KzAbK6nItSqNh8q70tb0K,"Where Is My Mind?","Death to the Pixies","Pixies",1997-10-06,229226,75,false,,1970-01-01T00:00:00Z,"alternative rock","4AD",0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,4
spotify:track:3J4lO2oyDMLEYGdHgRcJHW,"E.B.I.T.D.A.","Let God Sort Em Out","Clipse;Pharrell Williams;Pusha T;Malice",2025-07-11,119973,61,true,,1970-01-01T00:00:00Z,"southern hip hop","Roc Nation Distribution",0.589,0.95,9,-4.318,1,0.223,0.0612,0.00000113,0.176,0.879,199.852,4
spotify:track:02Y5z5UbRPqpXiLHfDRzeK,"Coast 2 Coast ft. Flowdan","Coast 2 Coast ft. Flowdan","GRiZ;Flowdan",2025-07-18,174751,50,false,,1970-01-01T00:00:00Z,"dubstep,edm,drum and bass,grime,uk garage","GRiZ LLC",0.603,0.989,1,-1.812,1,0.266,0.0134,0.0854,0.355,0.345,139.969,4
spotify:track:5Tl0HJvynZtKdSUMKbFVVX,"Hard Knock Life (Ghetto Anthem)","Vol.2... Hard Knock Life","JAY-Z",1998-11-29,238466,67,true,,1970-01-01T00:00:00Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.884,0.679,10,-5.857,0,0.282,0.0957,0.00209,0.0289,0.591,76.993,4
spotify:track:54KY54uI6AJGJOR0MxT56G,"SOMETHING ELSE","SOMETHING ELSE","Blurrd Vzn",2025-05-30,118285,27,false,,1970-01-01T00:00:00Z,"bass music,dubstep,riddim","MONTA",0.506,0.795,8,-5.763,0,0.188,0.0189,0.153,0.261,0.196,140.18,4
