state,winstate_inc,winstate_chal,winstate_3rd,state_full,evs,state_lab
AL,0.55,99.2425,0.2075,Alabama,9,AL
AK,12.8475,86.87,0.2825,Alaska,3,AK
AZ,18.635,81.35751,0.0075,Arizona,11,AZ
AR,0.2875,99.3175,0.395,Arkansas,6,AR
CA,99.5525,0.4275,0.02,California,54,CA
CO,88.9,10.8125,0.2875,Colorado,10,CO
CT,96.64,3.2475,0.1125,Connecticut,7,CT
DE,98.5625,1.365,0.0725,Delaware,3,DE
DC,99.92751,0.0025,0.07,District of Columbia,3,DC
FL,8.047501,91.95,0.0025,Florida,30,FL
GA,17.885,82.11,0.005,Georgia,16,GA
HI,91.8825,8.01,0.1075,Hawaii,4,HI
ID,0.17,99.11,0.72,Idaho,4,ID
IL,97.8775,1.9875,0.135,Illinois,19,IL
IN,0.2625,99.64,0.0975,Indiana,11,IN
IA,3.385,96.5675,0.0475,Iowa,6,IA
KS,0.2825,99.48,0.2375,Kansas,6,KS
KY,0.1675,99.6225,0.21,Kentucky,8,KY
LA,1.26,98.7175,0.0225,Louisiana,8,LA
ME,51.435,48.4,0.165,Maine,2,ME
MD,99.67,0.315,0.015,Maryland,10,MD
MA,99.425,0.5575,0.0175,Massachusetts,11,MA
MECD1,93.47,6.175,0.355,ME-1,1,ME-1
MECD2,6.59,92.85,0.56,ME-2,1,ME-2
MI,39.57,60.415,0.015,Michigan,15,MI
MN,67.745,32.235,0.02,Minnesota,10,MN
MS,3.66,96.0325,0.3075,Mississippi,6,MS
MO,0.24,99.75,0.01,Missouri,10,MO
MT,2.27,97.6925,0.0375,Montana,4,MT
NECD1,0.5,99.23,0.27,NE-1,1,NE-1
NECD2,55.8725,44.045,0.0825,NE-2,1,NE-2
NECD3,0.07,99.4575,0.4725,NE-3,1,NE-3
NE,0.195,99.715,0.09,Nebraska,2,NE
NV,28.645,71.33,0.025,Nevada,6,NV
NH,63.58,36.405,0.015,New Hampshire,4,NH
NJ,86.1975,13.7875,0.015,New Jersey,14,NJ
NM,81.3975,18.2275,0.375,New Mexico,5,NM
NY,97.665,2.315,0.02,New York,28,NY
NC,11.33,88.6625,0.0075,North Carolina,16,NC
ND,0.35,99.1525,0.4975,North Dakota,3,ND
OH,4.2925,95.705,0.0025,Ohio,17,OH
OK,0.0875,99.8975,0.015,Oklahoma,7,OK
OR,95.755,4.11,0.135,Oregon,8,OR
PA,32.7625,67.235,0.0025,Pennsylvania,19,PA
RI,95.765,4.19,0.045,Rhode Island,4,RI
SC,1.3975,98.4675,0.135,South Carolina,9,SC
SD,0.905,99.065,0.03,South Dakota,3,SD
TN,0.2425,99.73,0.0275,Tennessee,11,TN
TX,5.255,94.7325,0.0125,Texas,40,TX
UT,1.5925,98.14,0.2675,Utah,6,UT
VT,98.5075,0.6675,0.825,Vermont,3,VT
VA,78.3,21.67,0.03,Virginia,13,VA
WA,95.585,4.2925,0.1225,Washington,12,WA
WV,0.5325,99.1475,0.32,West Virginia,4,WV
WI,41.315,58.68,0.005,Wisconsin,10,WI
WY,0.12,99.3775,0.5025,Wyoming,3,WY
