Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1mlrEJsi41bsviUMB6nEgz,"Need","GigaSol","Atticus Rush",2025-06-20,136901,50,false,,2025-11-10T05:05:06Z,"","Acid Riot Music",0.689,0.673,1,-4.38,1,0.0393,0.0203,0.218,0.137,0.169,142.003,4
spotify:track:60zIis3BtyfNQFEucmDvE7,"I Run","I Run","HAVEN.",2025-10-29,129565,75,false,,2025-11-10T05:03:03Z,"","Isekai / Broke / AAO",0.737,0.795,8,-3.919,0,0.0309,0.00291,0.00589,0.108,0.26,138.013,4
spotify:track:1dpB1jrziyaczTQvvz8du1,"WILDFIRE","WILDFIRE","FUZION;Zeli",2025-10-31,177111,59,false,,2025-11-10T04:59:41Z,"uk garage","AAO Records",0.78,0.617,9,-7.094,1,0.0583,0.253,0.054,0.0955,0.117,135.05,4
spotify:track:3il4y44v2aMLfp96IJg7qu,"Move In Silence","Memory Of A Day (Deluxe)","Phantogram;Big Boi",2025-10-31,248455,51,true,,2025-11-10T04:55:54Z,"southern hip hop","Neon Gold",0.457,0.782,7,-6.403,1,0.153,0.012,0.00011,0.127,0.26,148.093,4
spotify:track:6Wq4NDrwhOrueu45OrF8yT,"Circles & Stars","Circles & Stars","AHEE",2025-10-10,256000,40,false,,2025-11-10T04:55:25Z,"dubstep,bass music,riddim","ZOT Records",0.529,0.969,5,-3.917,0,0.0444,0.000211,0.021,0.157,0.0864,149.998,4
spotify:track:360YcR1oRtUUrYsivzxy82,"BABY!","BABY!","Super Future;Wreckno",2025-10-28,222857,27,false,,2025-11-10T04:54:25Z,"bass music","N-S-E-W",0.628,0.952,7,-4.407,0,0.0348,0.0128,0.528,0.118,0.0521,139.991,4
spotify:track:1rlPXuxUk4t8xVS05Uab4G,"Losing Control","Losing Control","Odd Mob;OMNOM",2023-09-15,165335,59,false,,2025-11-08T20:27:07Z,"tech house,bass house","Experts Only",0.711,0.748,0,-6.524,1,0.0521,0.0493,0.765,0.316,0.254,134.014,4
spotify:track:1Z2HuPvdKhdlIbHst99MnR,"Blessings - Odd Mob Remix","Blessings - The Remixes (Part 2)","Calvin Harris;Clementine Douglas;Odd Mob",2025-08-01,189850,35,false,,2025-11-08T20:26:17Z,"edm,tech house,bass house","Columbia",0.549,0.968,9,-4.583,1,0.0572,0.0006,0.325,0.196,0.693,134.041,4
spotify:track:0oB8BYocpXaQ7hxX8ZhPJ6,"System","System","Odd Mob;OMNOM;HYPERBEAM",2025-09-05,201230,59,false,,2025-11-08T20:25:01Z,"tech house,bass house","Insomniac Records",0.728,0.856,1,-4.97,0,0.0381,0.0237,0.0569,0.0985,0.152,129.987,4
spotify:track:2vxsdAnntt6eGZJJRaLBF6,"palm of my hands - Odd Mob Remix","palm of my hands (Odd Mob Remix)","John Summit;Odd Mob;venbee",2024-11-08,203636,63,true,,2025-11-08T20:25:00Z,"house,tech house,bass house,drum and bass,liquid funk","Experts Only/Darkroom Records",0.823,0.908,10,-4.07,0,0.0526,0.00273,0.0838,0.0754,0.554,132.013,4
spotify:track:2mHYjjjoCvqF4ZFXY6CIZn,"Next To You","EURÊKA!","Romain Garcia",2025-10-17,203572,49,false,,2025-11-08T20:23:07Z,"melodic house,melodic techno,progressive house","Anjunadeep",0.622,0.933,1,-8.297,0,0.0343,0.026,0.772,0.147,0.0293,125.014,4
spotify:track:3Rs4YrQRbYzZt9VvFpj3br,"Fight Club","Paralysis Analysis","Chee;Mr. Carmack",2021-02-26,168421,31,false,,2025-11-08T20:21:05Z,"drumstep,bass music,dubstep,edm trap","Deadbeats",0.571,0.85,1,-6.271,1,0.556,0.0757,0.0168,0.288,0.451,85.56,4
