Direction,Date,Message
Received,"2025-05-27 12:40:17","Hey dan it james, Danielles working and im with the kids till like 4. But if i come by maybe i could bring my mac and help me out? "
Received,"2025-05-27 12:42:20","Just give me a call when you wake up "
Sent,"2025-05-27 13:18:39","yeah dude"
Sent,"2025-05-27 13:18:50","no worries i’ll be  here"
Sent,"2025-05-27 14:42:13","hahah i just found the animation of the failed “dolly parton as a bottle of syrup riding on a a rollercoaster” "
Sent,"2025-05-27 14:50:52","￼"
Sent,"2025-05-27 14:50:53","fuck it’s a little too bi ￼g to send but this is the general idea lol"
Received,"2025-05-27 15:26:58","Laughed at “g to send but this is the general idea lol”"
Received,"2025-05-27 15:27:05","Laughed at a movie"
Sent,"2025-05-27 15:27:55","￼"
Received,"2025-05-27 16:01:09","Heading your way"
Sent,"2025-05-27 16:11:20",kk
Sent,"2025-05-27 16:33:31","Door open"
Received,"2025-05-27 16:48:00","Ok almost there"
Received,"2025-05-27 19:31:30","￼"
Received,"2025-05-27 19:32:05",LOUD
Received,"2025-05-27 19:32:25","Edited to “To be played LOUD”"
Sent,"2025-05-27 19:39:01","where did the drums come from"
Sent,"2025-05-27 19:39:12","recorded live or done in the box"
Sent,"2025-05-27 19:39:16","has to be real drums right"
Received,"2025-05-27 19:39:36","Yes, it was one of the last tracks we did when we were a band in Ocean City
"
Received,"2025-05-27 19:39:49","I did bass and vocals "
Received,"2025-05-27 19:41:47","I’m actually gonna lay down some vocals for something before Danielle gets home anyways. Play around "
Sent,"2025-05-27 20:12:05","￼"
Sent,"2025-05-27 20:12:34","￼"
Sent,"2025-05-27 20:12:56","￼"
Sent,"2025-05-27 20:13:20","￼"
Sent,"2025-05-27 20:13:29","￼"
Sent,"2025-05-27 20:14:31","the last track is a metronome. so if you pull everything into garage band you can start them all at 1:1:1:1 in the SMTE time code (the very first frame of the song)"
Sent,"2025-05-27 20:15:29","i mean you can put them all anywhere you want as long as they all line up at the beginning. as long as the left edge is left where it is now and you have all the tracks left edges at the same place, you will be on grid"
Sent,"2025-05-27 20:19:55","one thing you might want to try is to remove or mute the bass track i just sent you and then try to re-create it or just do something totally new by putting it in as MIDI.

i mean you probably still know the bass line well enough that you wouldn’t really have much to figure out we know the song is in E minor, and there’s only a few different scales you would be playing in "
Sent,"2025-05-27 20:22:05","but just keep finding small projects. think of some kind of deliverable result that you want to try to figure out how to do it and then play around with it."
Received,"2025-05-27 20:33:38","Liked “one thing you might want to try is to remove or mute the bass track i just sent you and then try to re-create it or just do something totally new by putting it in as MIDI.

i mean you probably still know the bass line well enough that you wouldn’t really have much to figure out we know the song is in E minor, and there’s only a few different scales you would be playing in ”"
Received,"2025-05-27 20:33:50","Absolutely "
Received,"2025-05-27 20:35:09","You got any projects youre working on currently? 
Maybe I can help too. I appreciate you sitting down and taking time explaining issues ive be running into recording. 
"
Sent,"2025-05-27 20:35:23","i do actually"
Sent,"2025-05-27 20:35:37","and you’re the first to know about it but i think this one is going to work out for once"
Sent,"2025-05-27 20:35:40","check this out"
Sent,"2025-05-27 20:37:14","￼"
Sent,"2025-05-27 20:37:59","i don’t know how i’m beating the sensors right now but i think i’m about to finally pull off ‘dog 9/11’"
Sent,"2025-05-27 20:40:14","if he looks like he may not be your typical Al Qaeda sunni Muslim that is true and it is because i told chatGPT to make him dress brazilian. "
Received,"2025-05-27 20:41:54","Laughed at “i don’t know how i’m beating the sensors right now but i think i’m about to finally pull off ‘dog 9/11’”"
Received,"2025-05-27 20:46:50","Thats pretty impressive. You might get flagged but very amusing "
Sent,"2025-05-27 20:49:58","lol no they have an overzealous weighted filter that stops anything that might be a problem from even processing their system. 

and really the only thing that they are truly concerned about is CSAM so i think my good little jihadi is on his way to become a martyr after all. inshallah"
