Direction,Date,Message
Received,"2025-10-06 21:43:18","I apologize for being rude to you earlier. That wasn’t alright. Have a good night. "
Sent,"2025-10-06 21:47:24","shut up you weren’t being unreasonable"
Sent,"2025-10-06 21:47:45","Also there’s an actual jumping spider down here so… I have to go"
Sent,"2025-10-06 21:47:58","(Kill myself)"
Received,"2025-10-06 21:48:54","Uh please don’t "
Received,"2025-10-06 21:49:08","Be careful. You can do it "
Sent,"2025-10-06 21:49:28",No
Received,"2025-10-06 21:49:31","Use the vacuum "
Sent,"2025-10-06 21:49:50","Did you READ WHAAT I SAI D JIMPING"
Sent,"2025-10-06 21:49:54","NO WALKING "
Received,"2025-10-06 21:49:55","Yes I read "
Received,"2025-10-06 21:50:03","I dont know im sorry "
Sent,"2025-10-06 21:50:06","LIKE A LITTLE GYMNAST"
Received,"2025-10-06 21:50:17","Ask your mom for help "
Sent,"2025-10-06 21:50:18","SPRING LOADED"
Received,"2025-10-06 21:50:27","lol acrobat "
Sent,"2025-10-06 21:50:41","What god would create such an a tragic thin"
Received,"2025-10-06 21:51:10","Good question. Just don’t smash it. Try to suck it up and flush it or throw it outside "
Received,"2025-10-06 21:51:31","Empty the canister first so you can see if you suck it up "
Sent,"2025-10-06 21:52:27","This thing is vacuum proof"
Sent,"2025-10-06 21:52:32","I have to throw something "
Sent,"2025-10-06 21:52:42","(Well more stuff)"
Received,"2025-10-06 21:52:49","Don’t smash it Dan "
Received,"2025-10-06 21:53:03","It could have eggs and release them "
Sent,"2025-10-06 21:54:29","i will eat them I am fucking OVER these dickweeds"
Received,"2025-10-06 21:55:19","Oh um okay "
Sent,"2025-10-06 21:55:23","it’s like grand central fucking station "
Sent,"2025-10-06 21:55:27","They’re everywhere"
Received,"2025-10-06 21:55:32","Im sorry "
Received,"2025-10-06 21:56:48","I had two in my room this afternoon I couldn’t reach"
Sent,"2025-10-07 03:28:20","Uh oh - the fantano review of the taylor swift record i"
Sent,"2025-10-07 03:30:47",https://www.youtube.com/watch?v=sx4hnxRGQwU
Received,"2025-10-07 09:03:45","I personally am not that big of a fan of the album as a whole. I like a few songs. But I feel like it’s very Sabrina Carpenter like. which okay, she was on tour with her for the Eras Tours. They are friends. I dont know. I haven’t given the album much listening yet. A few songs I like."
Received,"2025-10-07 12:07:36","￼Isn’t she lovely "
Sent,"2025-10-07 12:16:41","You’re good for today?"
Received,"2025-10-07 12:28:17","Don’t have money. Unless I find a way to get enough to cover phone payment for Friday and get some extra money. I dont know."
Sent,"2025-10-07 12:35:18","Let me know. I’m going to be busy after 3 or 4 so if you need it after that i'll have to hav you drop the money in the mailboxor somethinge"
Received,"2025-10-07 12:36:54","Uh okay "
Sent,"2025-10-07 12:38:22","i’m just letting you know I won’t be able to get the money from you or will have to do so carefully if it’s after that"
Received,"2025-10-07 12:38:40","So someone’s coming over lol "
Received,"2025-10-07 12:39:07","It’s fine. I’ll let you know if I can get money "
Sent,"2025-10-07 12:40:45","Obviously yes"
Sent,"2025-10-07 12:40:50","And that’s fine"
Received,"2025-10-07 12:49:48",Ok
Sent,"2025-10-07 12:51:12","I’ll have xanax for you"
Received,"2025-10-07 12:54:13","I have a large nug of weed and hash from a old mountain man lol "
Received,"2025-10-07 12:54:47","I’ll give you the hash bc I don’t want it. And I’ll give you some of the weed. "
Received,"2025-10-07 13:11:35","I’ll be getting some money later. Not sure when but later "
Received,"2025-10-07 14:43:09","Just left home "
Received,"2025-10-07 14:55:48","On my  way "
Received,"2025-10-07 14:59:57","Here. "
Received,"2025-10-07 15:19:32","Do you think it’ll be long "
Sent,"2025-10-07 15:43:54",Ready
Sent,"2025-10-07 15:44:03","Can you come grab it now before she gets here"
Received,"2025-10-07 15:44:39","lol "
Received,"2025-10-07 15:44:42","I wanna know who. "
Received,"2025-10-07 15:44:55","Yeah I will. Forgot to give you the weed too "
Sent,"2025-10-07 15:45:14","You don’t know"
Received,"2025-10-07 15:45:47","I want to know "
Sent,"2025-10-07 15:46:57","I went back to my old rule I only fuck with Greene county girls from the other side of the bridge "
Sent,"2025-10-07 15:47:03","There’s something in the water over there"
Received,"2025-10-07 15:47:15","Oh cute "
Sent,"2025-10-07 15:47:17","(Probably from the power plant)"
Received,"2025-10-07 15:47:20","🤮"
Received,"2025-10-07 15:47:35","Probably 17 too "
Sent,"2025-10-07 15:49:04","How long"
Received,"2025-10-07 15:49:11","Getting in the car. "
Sent,"2025-10-07 15:49:38","Nah my age. Well, close."
Sent,"2025-10-07 15:49:56",1990
Received,"2025-10-07 15:49:56","Just tell me "
Received,"2025-10-07 15:50:13","Wow shocking "
Received,"2025-10-07 15:53:44","Can I come make one or not"
Sent,"2025-10-07 15:54:39","No time"
Received,"2025-10-07 15:54:54","I’m here"
Received,"2025-10-07 15:55:01","Been sitting here"
Received,"2025-10-08 12:20:02","Trying to get money together "
Received,"2025-10-08 12:43:03","I got fifty "
Sent,"2025-10-08 12:43:05","Try to be quick. It’s pool da"
Received,"2025-10-08 12:43:28","Fifty "
Sent,"2025-10-08 12:45:30",When
Received,"2025-10-08 12:45:51","I gotta go to the bank "
Received,"2025-10-08 12:46:04","Currently on the toilet "
Received,"2025-10-08 12:47:03","Give me a second "
Received,"2025-10-08 13:03:55","Actually 60 "
Received,"2025-10-08 13:07:33","About to to leave "
Sent,"2025-10-08 13:15:19",ok
Received,"2025-10-08 13:19:29","Just left atm"
Received,"2025-10-08 13:21:53","Do you want a drink "
Sent,"2025-10-08 13:26:37","sure hurry"
Received,"2025-10-08 13:26:57","On my way "
Received,"2025-10-08 14:07:10","Did you hear back yet "
Sent,"2025-10-08 15:23:42","I heard back but haven’t seen him yet"
Received,"2025-10-08 15:24:41","Why not "
Sent,"2025-10-08 15:55:51","Also I might need to borrow that keyboard from you even if he wants it back"
Sent,"2025-10-08 15:56:01","My laptop is almost cooked for good"
Received,"2025-10-08 15:56:06","You can have it "
Received,"2025-10-08 15:56:12","That’s why I offered "
Received,"2025-10-08 15:56:25","I’ll bring it "
Sent,"2025-10-08 15:56:33","Okay bring it when you come I’m gonna find out now how long and I’ll let you know "
Received,"2025-10-08 15:56:41","Hopefully soon "
Received,"2025-10-08 15:56:45","Can’t I just come over.. "
Received,"2025-10-08 15:56:51","Please "
Sent,"2025-10-08 15:57:11","Yeah it’s fine "
Received,"2025-10-08 15:57:17","Ok thank you "
Received,"2025-10-08 15:57:21","I need out of the house "
Received,"2025-10-08 15:57:24","I’m going insane "
Sent,"2025-10-08 15:57:30","I had to put an end to this nonsense so you're allowed downstairs again"
Received,"2025-10-08 15:57:37",?
Sent,"2025-10-08 15:57:47","you’ll see"
Received,"2025-10-08 15:57:54","I’m scared "
Received,"2025-10-08 15:58:00","Be over soon "
Sent,"2025-10-08 15:58:13","i had 3 cameras set up"
Sent,"2025-10-08 15:58:24","And that wasn’t enough"
Sent,"2025-10-08 15:58:38","It was the exact opposite of your position on jealousy"
Sent,"2025-10-08 15:59:22","From not caring even a little bit to caring WAY too much"
Received,"2025-10-08 15:59:27",wtf????
Received,"2025-10-08 15:59:40","Uh that’s kinda psychotic"
Received,"2025-10-08 15:59:49","For what reason "
Sent,"2025-10-08 15:59:53","I told you I almost got knocked out for literally having a prescription bottle with your name on it "
Received,"2025-10-08 16:00:06","EXCUSE ME"
Sent,"2025-10-08 16:00:11","my google photos was the final straw "
Received,"2025-10-08 16:00:14","KNOCKED OUT"
Received,"2025-10-08 16:00:19","WHAT THEHELL"
Received,"2025-10-08 16:00:23","who the fuck "
Received,"2025-10-08 16:00:25","Tell me "
Sent,"2025-10-08 16:00:33","well…not really but it was a major problem "
Received,"2025-10-08 16:00:44","That’s actually insane "
Sent,"2025-10-08 16:01:26","Yeah but still I’d prefer that over someone who is making known how little they care about what you do "
Sent,"2025-10-08 16:01:30","Lmao "
Received,"2025-10-08 16:01:44",Stop
