Direction,Date,Message
Received,"2025-08-01 10:26:18","Good morning. I will have enough to get a full one this afternoon"
Received,"2025-08-01 10:30:53","I will have her write the check after I go to the store for her. "
Sent,"2025-08-01 10:50:27",ok
Received,"2025-08-01 10:55:52","So around 12:00 if you want to tell him."
Received,"2025-08-01 11:55:20","Writing check now "
Sent,"2025-08-01 12:20:41","are you going out tonight"
Received,"2025-08-01 12:21:50","I don’t “go out” ??? I eat dinner with my parents. And i dont know yet. "
Received,"2025-08-01 12:22:01","On my way to you now "
Sent,"2025-08-01 12:22:27","i’m sorry but you’re going out until like 11 at a bar what the fuck do you call that"
Sent,"2025-08-01 12:23:17","and i have too many fucking examples of everything going sideways because you are drinking - you can not seriously ask me to just not even think about what is going to"
Received,"2025-08-01 12:23:21","Are you coming out to get the money or do you want me to come in real quick? I need to go back home and then get to my eye appointment."
Sent,"2025-08-01 12:23:23","you know what nevermind it’s fucking stupid"
Sent,"2025-08-01 12:23:50","i’ll come outside"
Sent,"2025-08-01 12:24:05","fuck you by the way i’m really not sure what the point of this is at all anymore"
Sent,"2025-08-01 12:24:18","like i hate everything about what you have turned this into "
Sent,"2025-08-01 12:28:38","pretty fucking incredible that after this week and having not really spent any time with me in really over a month… that you would ask me to be okay with this situation and specifically you going out"
Sent,"2025-08-01 12:29:40",
Sent,"2025-08-01 12:30:23",
Sent,"2025-08-01 12:41:47","what do you think it feels like that you won’t even invite me to even stupid little stuff"
Sent,"2025-08-01 12:42:59","i am so humiliated. i feel like i look so fucking stupid telling anyone that i’m still your boyfriend because you keep making a point of showing everyone that isn’t true"
Sent,"2025-08-01 12:44:13","i can’t do it anymore. i can’t. 

i keep believing you and then you show me that you are already gone. why are you doing this"
Received,"2025-08-01 13:40:51","You called? I answered "
Received,"2025-08-01 13:40:55","I’m still waiting to be seen "
Sent,"2025-08-01 13:41:20","it must have called from my pocket "
Sent,"2025-08-01 13:41:54","well now you’ll know how it feels to be me"
Received,"2025-08-01 13:42:01","Alright. "
Received,"2025-08-01 13:42:30","I’m sorry Dan. "
Received,"2025-08-01 13:42:52","I assume he hasn’t come yet "
Received,"2025-08-01 14:23:23","I need fucking glasses "
Sent,"2025-08-01 19:11:46","…cool, well that’s pretty much what i expected"
Sent,"2025-08-01 20:04:13","alright well"
Sent,"2025-08-01 20:04:53","don’t tell me that i should take anything you say seriously lol

it’s super fucking clear what you are maneuvering for here"
Sent,"2025-08-01 20:07:05","it’s going to suck but i just have to force myself to see that the person i fell in love with is gone, at least to me she is gone"
Sent,"2025-08-01 20:09:30","it really is incredibly fucked i have no idea what is making you do this like over and over and over "
Sent,"2025-08-01 20:29:28","i don’t need to tell you that this isn’t how you treat people"
Sent,"2025-08-01 20:29:52","and it’s completely opposite of how you treat people you love or care about"
Sent,"2025-08-01 20:31:03","don’t ask me to believe that you are sorry or that you aren’t just fucking around with my mental health for the fun of it. "
Sent,"2025-08-01 20:35:15","you don’t need to hurt me to end this or do what you want. 

this is so much worse than just hearing you don’t love me anymore it really is"
Sent,"2025-08-01 21:10:33","i can not believe you."
Sent,"2025-08-01 21:22:09","i really do hope you have a nice life and you find someone who you can actually love "
Sent,"2025-08-01 21:38:27","i won't rant and rave at you. i won't get mad or upset at you. it's time for me to stop lying to myself and look at how you act and treat me - i need to accept that the person i fell in love with is gone.

right now i am completely shattered and i know what’s going on and i feel like my world collapsed. you really were my world.

but i’ll be okay and i am proud of myself that for all of the trauma and pain that you have put me through - i always did right by you and i know that i would have been able to love you just like i did from the very beginning for the rest of my life. i was good to you and i don’t need you to affirm that to feel good that i never wanted to treat you as badly as you treated me  "
