Video ID,Playlist Video Creation Timestamp
MclyVf4O-ME,2011-06-25T08:26:48+00:00
ymTRcZOYRI8,2011-06-25T08:26:48+00:00
AOPY0VZ3eJI,2011-06-25T08:26:48+00:00
h9XwhG4iOXk,2011-06-25T08:26:48+00:00
NuigdAmUdtY,2011-06-25T08:26:48+00:00
6L4MuhdJa5A,2011-06-25T08:26:48+00:00
ZtTIiw_u_pY,2011-06-25T08:26:48+00:00
z3_qdvDPylA,2011-06-25T08:26:48+00:00
slEE6Nv3cKY,2011-06-25T08:26:51+00:00
9R7YI4FjZVg,2011-06-25T08:26:51+00:00
Isgc-j_JJec,2011-06-25T08:26:51+00:00
toA-e3CMrZU,2011-06-25T08:26:51+00:00
F6OARPsL1dc,2011-06-25T08:26:51+00:00
_GFPPyvbclA,2011-06-25T08:26:51+00:00
DP7wfQddkyU,2011-06-25T08:26:51+00:00
AH-0YFfjLGQ,2011-06-25T08:26:54+00:00
6L4MuhdJa5A,2012-03-26T08:14:02+00:00
AkRVLFCbjf8,2012-03-26T08:14:02+00:00
v8nbdNZHLXc,2012-03-26T08:14:02+00:00
1KIALIMBmQg,2012-03-26T08:14:02+00:00
xdO55ICzN-M,2012-03-26T08:14:02+00:00
ZtTIiw_u_pY,2012-03-26T08:14:02+00:00
NT7ZhgrioL4,2012-03-26T08:14:02+00:00
ENU9sXul_44,2012-03-26T08:14:02+00:00
z3_qdvDPylA,2012-03-26T08:14:02+00:00
slEE6Nv3cKY,2012-03-26T08:14:02+00:00
wfJ7GCmbj64,2012-03-26T08:14:02+00:00
9R7YI4FjZVg,2012-03-26T08:14:02+00:00
mGaVvmZa1e0,2012-03-26T08:14:02+00:00
XPoH8kBhois,2012-03-26T08:14:02+00:00
Isgc-j_JJec,2012-03-26T08:14:02+00:00
H9ubjefzWVw,2012-03-26T08:14:02+00:00
5fZSU8277J8,2012-03-26T08:14:02+00:00
0exCd1D55Ts,2012-03-26T08:14:02+00:00
ecnzdulh4Ws,2012-03-26T08:14:02+00:00
vVAzoAwEHs4,2012-03-26T08:14:02+00:00
toA-e3CMrZU,2012-03-26T08:14:02+00:00
CqIwlU-Dvdk,2012-03-26T08:14:02+00:00
X3OIn2rkkFM,2012-03-26T08:14:02+00:00
F6OARPsL1dc,2012-03-26T08:14:02+00:00
_GFPPyvbclA,2012-03-26T08:14:02+00:00
DP7wfQddkyU,2012-03-26T08:14:02+00:00
bld7VPD-dY0,2012-03-26T08:14:02+00:00
P7vYSdIdMR4,2012-03-26T08:14:02+00:00
4GsioXdbVkU,2012-03-26T08:14:02+00:00
qNB3wK8n9Io,2012-03-26T08:14:02+00:00
OKdaOiXVCIo,2012-03-26T08:14:02+00:00
x_61W1Q6U8o,2012-03-26T08:14:02+00:00
0Au2mTdpwss,2012-03-26T08:14:02+00:00
l8za1FO09H0,2012-03-26T08:14:02+00:00
lqy6mPzGlu8,2012-03-26T08:14:02+00:00
ctzJ-pYxbCc,2012-03-26T08:14:02+00:00
fd1o1cSYQzI,2012-03-26T08:14:02+00:00
xGvv93BtrcE,2012-03-26T08:14:02+00:00
6d_3zTZzO7c,2012-03-26T08:14:02+00:00
Pj0t7-uh6fY,2012-03-26T08:14:02+00:00
ECXOsOa3Wwg,2012-03-26T08:14:02+00:00
osfY7gt06LQ,2012-03-26T08:14:02+00:00
xTlm_GGs_Fc,2012-03-26T08:14:02+00:00
AH-0YFfjLGQ,2012-03-26T08:14:02+00:00
FnBlUTqkZ0I,2012-03-26T08:14:02+00:00
U8zNY7XvXEM,2012-03-26T08:14:02+00:00
3JmSq97y9x4,2012-03-26T08:14:02+00:00
k-D2ZIjAGmc,2012-03-26T08:14:02+00:00
w_JHUTeQ-hE,2012-03-26T08:14:02+00:00
TRObhG0eQSI,2012-03-26T08:14:02+00:00
I1fI_Yb71KA,2012-03-26T08:14:02+00:00
jc2AYVhc6Rc,2012-03-26T08:14:02+00:00
fmKcgpxheCI,2012-03-26T08:14:02+00:00
NBmt2EbohuM,2012-03-26T08:14:02+00:00
VX377reQksY,2012-03-26T08:14:02+00:00
l8XAxBj2y4s,2012-03-26T08:14:02+00:00
LKSP9osbCG0,2012-03-26T08:14:02+00:00
RuBWuqjQDwY,2012-03-26T08:14:03+00:00
lvu-A_0V6Ng,2012-03-26T08:14:03+00:00
ca6TEgSAnCE,2012-03-26T08:14:03+00:00
BZfBpMAvvqg,2012-03-26T08:14:03+00:00
J_1vHwCjtFA,2012-03-26T08:14:03+00:00
O0lQmsxMk9s,2012-03-26T08:14:03+00:00
Ajq78ydz5XE,2012-03-26T08:14:03+00:00
pTq48_MeeEs,2012-03-26T08:14:03+00:00
oEvx1rqQJ6A,2012-03-26T08:14:03+00:00
6xnGhuWRhPA,2012-03-26T08:14:03+00:00
M_SGo1KN298,2012-03-26T08:14:03+00:00
HmsmUY9qSAU,2012-03-26T08:14:03+00:00
wPzN4fpn08c,2012-03-26T08:14:03+00:00
1aKaz3R-nCw,2012-03-26T08:14:03+00:00
E2V9Xo_L4Xs,2012-03-26T08:14:03+00:00
QLsLuXs5WYE,2012-03-26T08:14:03+00:00
rj3P6fMMoZo,2012-03-26T08:14:03+00:00
q2y6FDIBsoM,2012-03-26T08:14:03+00:00
7UiTBaWtGa4,2012-03-26T08:14:03+00:00
YMdy4Y4NzBI,2012-03-26T08:14:03+00:00
nLr8WkPJEpc,2012-03-26T08:14:03+00:00
lTwBMDrPtac,2012-03-26T08:14:03+00:00
sNKRJX20Lb0,2012-03-26T08:14:03+00:00
xfJKNooDsRw,2012-03-26T08:14:03+00:00
5Qu3CJ8hLzc,2012-03-26T08:14:03+00:00
yHJSuF2Q_UM,2012-03-26T08:14:03+00:00
HeOzKHuuST0,2012-03-26T08:14:03+00:00
oI_MosArmaQ,2012-03-26T08:14:03+00:00
iei42xu6Q1A,2012-03-26T08:14:03+00:00
xPazURNWAss,2012-03-26T08:14:03+00:00
GXVImHndtFA,2012-03-26T08:14:03+00:00
Xn4VihkXJJA,2012-03-26T08:14:03+00:00
ZkYXCXjaFec,2012-03-26T08:14:04+00:00
0UQTetBRAzM,2012-03-26T08:14:04+00:00
WKsSJisI-m4,2012-03-26T08:14:04+00:00





