Video ID,Playlist Video Creation Timestamp
jydI0XbXC9k,2011-06-25T08:31:12+00:00
dRkTWqAJWSA,2011-06-25T08:31:12+00:00
zr6d2T17o2k,2011-06-25T08:31:12+00:00
thU7b8FCVY4,2011-06-25T08:31:12+00:00
HElrYam1uC4,2011-06-25T08:31:15+00:00
CM1pnBOBO9Q,2011-06-25T08:31:18+00:00
OJWEu0-BrUY,2011-06-25T08:31:18+00:00
gQsQfYKsOAo,2011-06-25T08:31:21+00:00
jydI0XbXC9k,2012-03-02T21:46:49+00:00
dRkTWqAJWSA,2012-03-02T21:46:49+00:00
zr6d2T17o2k,2012-03-02T21:46:49+00:00
SBV5A0oPl1U,2012-03-02T21:46:49+00:00
thU7b8FCVY4,2012-03-02T21:46:49+00:00
HElrYam1uC4,2012-03-02T21:46:49+00:00
OJWEu0-BrUY,2012-03-02T21:46:51+00:00
gQsQfYKsOAo,2012-03-02T21:46:52+00:00
thU7b8FCVY4,2012-03-04T16:52:08+00:00
TD779ps1VGo,2012-03-04T16:52:08+00:00
CM1pnBOBO9Q,2012-03-04T16:52:09+00:00
gQsQfYKsOAo,2012-03-04T16:52:10+00:00
W7x1PtwueC4,2012-03-13T05:53:43+00:00
AZb-UNNB9-8,2012-03-13T05:53:43+00:00
ut-fmv-SQP4,2012-03-13T05:53:43+00:00
XFOzpHKYqhk,2012-03-13T05:53:43+00:00
IKJpUan-prM,2012-03-13T05:53:43+00:00
3byBz6AkrdY,2012-03-13T05:53:44+00:00
C5RsupoHzWc,2012-03-13T05:53:44+00:00
ryepAsNi_oM,2012-03-13T05:53:44+00:00
CM1pnBOBO9Q,2012-03-13T05:53:44+00:00
gQsQfYKsOAo,2012-03-13T05:53:45+00:00
SBV5A0oPl1U,2012-03-15T03:43:35+00:00
thU7b8FCVY4,2012-03-15T03:43:35+00:00
4Hqt8zHXNyI,2012-03-15T03:43:35+00:00
W7x1PtwueC4,2012-03-15T03:43:35+00:00
kv19s4cNp9s,2012-03-15T03:43:35+00:00
6raApa3R0Hc,2012-03-15T03:43:35+00:00
HElrYam1uC4,2012-03-15T03:43:35+00:00
AZb-UNNB9-8,2012-03-15T03:43:36+00:00
ZodyUh1nk6Y,2012-03-15T03:43:36+00:00
ut-fmv-SQP4,2012-03-15T03:43:36+00:00
K7CqBbH0Thw,2012-03-15T03:43:36+00:00
XFOzpHKYqhk,2012-03-15T03:43:36+00:00
IKJpUan-prM,2012-03-15T03:43:36+00:00
VmxIi1sP3pw,2012-03-15T03:43:36+00:00
ePUWiMltnko,2012-03-15T03:43:36+00:00
TD779ps1VGo,2012-03-15T03:43:36+00:00
4MSsfx-_bAI,2012-03-15T03:43:36+00:00
V8rjP9pFSSo,2012-03-15T03:43:36+00:00
h3Kn26B8Q-k,2012-03-15T03:43:36+00:00
MHYusqyOYPo,2012-03-15T03:43:36+00:00
QPR-k-4_6Oo,2012-03-15T03:43:36+00:00
w8R4egMe1dQ,2012-03-15T03:43:36+00:00
6fdcekK8-ps,2012-03-15T03:43:36+00:00
nPaRw5cFJbc,2012-03-15T03:43:36+00:00
3byBz6AkrdY,2012-03-15T03:43:36+00:00
C5RsupoHzWc,2012-03-15T03:43:36+00:00
XyQLRWMBTVA,2012-03-15T03:43:36+00:00
DIeBVJXhMwo,2012-03-15T03:43:36+00:00
iVIXWOjmeeg,2012-03-15T03:43:36+00:00
Ga9FWiP7usI,2012-03-15T03:43:36+00:00
ryepAsNi_oM,2012-03-15T03:43:36+00:00
IuM30JHXYEk,2012-03-15T03:43:36+00:00
L6sjueJNBzc,2012-03-15T03:43:36+00:00
e-2PxbbSqxg,2012-03-15T03:43:36+00:00
