Video ID,Playlist Video Creation Timestamp
K8c9I_xyOO4,2011-06-25T08:27:01+00:00
8OecIacNCyg,2011-06-25T08:27:01+00:00
dxTpGZAUxOc,2011-06-25T08:27:01+00:00
yskiRv3OcK4,2011-06-25T08:27:01+00:00
5glp92wlaM0,2011-06-25T08:27:01+00:00
6rXgxbJ9G7k,2011-06-25T08:27:01+00:00
Wd4CoF7RgIA,2011-06-25T08:27:05+00:00
3VzZFmLhXLM,2011-06-25T08:27:08+00:00
8khHyaUaUOg,2011-06-25T08:27:08+00:00
ctgKkjnAdHc,2011-06-25T08:27:11+00:00
8khHyaUaUOg,2012-03-02T21:46:41+00:00
ctgKkjnAdHc,2012-03-02T21:46:41+00:00
RVh9Ao4Ybys,2012-03-02T21:46:43+00:00
MVs4eWtm2RA,2012-03-02T21:46:44+00:00
yBAMIbTWOWg,2012-03-02T21:46:44+00:00
dHXwxGgNXm0,2012-03-02T21:46:45+00:00
XN2nEio_mmA,2012-03-02T21:46:45+00:00
-41sL5HFg9k,2012-03-02T21:46:45+00:00
RVh9Ao4Ybys,2012-03-04T16:50:44+00:00
iBjRYPppguI,2012-03-04T16:50:44+00:00
FDpVtfOHAv4,2012-03-04T16:50:44+00:00
G9uza2j8u-k,2012-03-04T16:50:45+00:00
JJ1X8-N-ar4,2012-03-04T16:50:45+00:00
Io70IjOwLaA,2012-03-04T16:50:45+00:00
RXIyrnZop1I,2012-03-13T05:12:21+00:00
DVk2lAsi10s,2012-03-13T05:12:23+00:00
 -wf8_Mx6CVk,2012-03-13T05:12:23+00:00
-41sL5HFg9k,2012-03-13T05:17:28+00:00
uPxg4xvlR0w,2012-03-15T03:43:25+00:00
H3to-uDa6p0,2012-03-15T03:43:25+00:00
Hw2_6y3nWMM,2012-03-15T03:43:25+00:00
GjqtRFPdwOI,2012-03-15T03:43:26+00:00
0AHDTB43Ucg,2012-03-15T03:43:26+00:00
fNHINiVTb-U,2012-03-15T03:43:26+00:00
nXcilT3c4ew,2012-03-15T03:43:27+00:00
S5W0dT_vxNg,2012-03-15T03:43:27+00:00
S5W0dT_vxNg,2012-03-15T03:43:27+00:00
hD5AcG1LCjU,2012-03-15T03:43:29+00:00
ZSKkEylD7t0,2012-03-15T03:43:29+00:00
0zJrwx5x84A,2012-03-15T03:43:30+00:00
oCm3Bny4-kA,2012-03-15T03:43:30+00:00
-41sL5HFg9k,2012-03-15T03:43:30+00:00
eJ13KUZqcDU,2012-03-15T03:43:30+00:00
5glp92wlaM0,2012-03-26T08:14:08+00:00
KWTFn-wOLVA,2012-03-26T08:14:08+00:00
cYp3OUGn0kk,2012-03-26T08:14:08+00:00
6rXgxbJ9G7k,2012-03-26T08:14:09+00:00
F7cwHkW92yE,2012-03-26T08:14:09+00:00
uUxiUn9iNcM,2012-03-26T08:14:09+00:00
0OF1ksM0vXE,2012-03-26T08:14:09+00:00
WDKBdPzMQQc,2012-03-26T08:14:09+00:00
TmlLCWY-Ho8,2012-03-26T08:14:09+00:00
GrUZRxvEW_4,2012-03-26T08:14:09+00:00
wVPHOx_nqEU,2012-03-26T08:14:09+00:00
ImdjMdemL-g,2012-03-26T08:14:09+00:00
cgm7x7KvniI,2012-03-26T08:14:09+00:00
KmHjH0LE8S4,2012-03-26T08:14:09+00:00
 -TpUzwSZfBI,2012-03-26T08:14:09+00:00
Wd4CoF7RgIA,2012-03-26T08:14:09+00:00
5cfInjgoUoc,2012-03-26T08:14:09+00:00
ZbMgvGUuk0E,2012-03-26T08:14:09+00:00
12BUbppnR2E,2012-03-26T08:14:09+00:00
LH6wPU8lH9Q,2012-03-26T08:14:09+00:00
aZ5H7l3zTlg,2012-03-26T08:14:09+00:00
YIWy_rK5jGA,2012-03-26T08:14:09+00:00
1v226jsvUXQ,2012-03-26T08:14:09+00:00
5ZlB5Q4FqQU,2012-03-26T08:14:09+00:00
cPtYK64y9fE,2012-03-26T08:14:09+00:00
 -kP4n_QUw_M,2012-03-26T08:14:09+00:00
RXIyrnZop1I,2012-03-26T08:14:09+00:00
FVzlz3AZ-0A,2012-03-26T08:14:09+00:00
lEjOgrGtpgA,2012-03-26T08:14:09+00:00
RXIyrnZop1I,2012-03-26T08:14:09+00:00
qsOHo2jt1us,2012-03-26T08:14:09+00:00
fVvOtSH2Fkc,2012-03-26T08:14:09+00:00
YeS4YAXxiRs,2012-03-26T08:14:09+00:00
8ksTYcbAfiU,2012-03-26T08:14:09+00:00
C6-7ZbCTekc,2012-03-26T08:14:09+00:00
exeDAZV6HDE,2012-03-26T08:14:10+00:00
4RAzNnKOy60,2012-03-26T08:14:10+00:00
JBih2s56WYs,2012-03-26T08:14:10+00:00
zc3eQ4jNHnE,2012-03-26T08:14:10+00:00
byiJxLyyPYE,2012-03-26T08:14:10+00:00
bWHmgrFayXU,2012-03-26T08:14:10+00:00
Dn3hJg8SQjQ,2012-03-26T08:14:10+00:00
cGGyr_vJGCk,2012-03-26T08:14:10+00:00
ygayeLQYG6I,2012-03-26T08:14:10+00:00
4b4Ps2CQh-U,2012-03-26T08:14:10+00:00
UdkmoLqx5W0,2012-03-26T08:14:10+00:00
iNE7HnUvdEk,2012-03-26T08:14:10+00:00
y29pTAtGkOw,2012-03-26T08:14:10+00:00
U-eSu1V0vkM,2012-03-26T08:14:10+00:00
zKWhjcJx-3E,2012-03-26T08:14:10+00:00
YqegLb2PExA,2012-03-26T08:14:10+00:00
IjvDmfcosTU,2012-03-26T08:14:10+00:00
IjvDmfcosTU,2012-03-26T08:14:10+00:00
M4QxLpj9dsk,2012-03-26T08:14:10+00:00
xjtWX8Lyxaw,2012-03-26T08:14:10+00:00
62VT8IK2Yk0,2012-03-26T08:14:10+00:00
C1Do1pBG9q4,2012-03-26T08:14:10+00:00
62l1XvJfNGg,2012-03-26T08:14:10+00:00
DVk2lAsi10s,2012-03-26T08:14:10+00:00
KbI_EjlEFnQ,2012-03-26T08:14:10+00:00
viWYdrryB_8,2012-03-26T08:14:10+00:00
 -wf8_Mx6CVk,2012-03-26T08:14:10+00:00
AIV26Cf2g5I,2012-03-26T08:14:10+00:00
p2j5jGPQOa8,2012-03-26T08:14:10+00:00
98UPAQy2mno,2012-03-26T08:14:10+00:00
fzk8O30BTLo,2012-03-26T08:14:10+00:00
U2AZn-HZkj8,2012-03-26T08:14:10+00:00
ZdHsKX5vwms,2012-03-26T08:14:11+00:00
4UCiu3ejt0U,2012-03-26T08:14:11+00:00
6j4vyPJHuoI,2012-03-26T08:14:11+00:00
89_61udFeMU,2012-03-26T08:14:11+00:00
0AuqOicYBrI,2012-03-26T08:14:11+00:00
uPxg4xvlR0w,2012-03-26T08:14:11+00:00
wsGQ0WjEkpE,2012-03-26T08:14:11+00:00
3VzZFmLhXLM,2012-03-26T08:14:11+00:00
zEyAtZ5wVn8,2012-03-26T08:14:11+00:00
8khHyaUaUOg,2012-03-26T08:14:11+00:00
92KR8e6tHLQ,2012-03-26T08:14:11+00:00
kvt_JNs6atM,2012-03-26T08:14:11+00:00
8lzSYoTMOYU,2012-03-26T08:14:11+00:00
ubwJIHZnpic,2012-03-26T08:14:11+00:00
lwrLYOm3wJk,2012-03-26T08:14:11+00:00
V_RI5usq0sg,2012-03-26T08:14:11+00:00
V_RI5usq0sg,2012-03-26T08:14:11+00:00
NMA1ftM-Z_c,2012-03-26T08:14:11+00:00
RXMKJPabVB8,2012-03-26T08:14:11+00:00
2ojXRILHhPo,2012-03-26T08:14:11+00:00
IySC6YzY6so,2012-03-26T08:14:11+00:00
8SA2dXllI1w,2012-03-26T08:14:11+00:00
OAwy7D8G0Ns,2012-03-26T08:14:11+00:00
H3to-uDa6p0,2012-03-26T08:14:11+00:00
Pdh44rSAQBQ,2012-03-26T08:14:11+00:00
lfMAqqkKfvk,2012-03-26T08:14:11+00:00
ACnd_2cTBgA,2012-03-26T08:14:11+00:00
ctgKkjnAdHc,2012-03-26T08:14:11+00:00
wkz-UTmTCUI,2012-03-26T08:14:11+00:00
pXNMsjL6qoQ,2012-03-26T08:14:11+00:00
FYj_gwE9Y2I,2012-03-26T08:14:11+00:00
ydkkqBadsoo,2012-03-26T08:14:11+00:00
WCt8Mczma6w,2012-03-26T08:14:12+00:00
Hw2_6y3nWMM,2012-03-26T08:14:12+00:00
COljM8DYvT0,2012-03-26T08:14:12+00:00
EqRFLTYog38,2012-03-26T08:14:12+00:00
kQkR5l4Rtt0,2012-03-26T08:14:12+00:00
kZPCImC4e5Q,2012-03-26T08:14:12+00:00
kZPCImC4e5Q,2012-03-26T08:14:12+00:00
TGblCUUQy3s,2012-03-26T08:14:12+00:00
rilP_aYdQMw,2012-03-26T08:14:12+00:00
oAaVTqnE3jw,2012-03-26T08:14:12+00:00
9ecKTeCwSeY,2012-03-26T08:14:12+00:00
c7fboIlJ460,2012-03-26T08:14:12+00:00
oAaVTqnE3jw,2012-03-26T08:14:12+00:00
GjqtRFPdwOI,2012-03-26T08:14:12+00:00
gaUxs3fdy1U,2012-03-26T08:14:12+00:00
CT6TXHAQPEY,2012-03-26T08:14:12+00:00
3Lb_jho2Gmg,2012-03-26T08:14:12+00:00
nZ3KBJI8ZJU,2012-03-26T08:14:12+00:00
UeY42djaKek,2012-03-26T08:14:12+00:00
eGURvtiwAsU,2012-03-26T08:14:12+00:00
0AHDTB43Ucg,2012-03-26T08:14:12+00:00
vZjCUqPYbQo,2012-03-26T08:14:12+00:00
