Video ID,Playlist Video Creation Timestamp
zmVVULlAi94,2011-06-25T08:26:03+00:00
AFcU3psHegc,2011-06-25T08:26:03+00:00
jDBA3-P1HUw,2011-06-25T08:26:03+00:00
gp3DZJELTqw,2011-06-25T08:26:06+00:00
EmZiWXWeOm0,2011-06-25T08:26:06+00:00
zmVVULlAi94,2012-03-26T08:13:43+00:00
96u7zbM97eg,2012-03-26T08:13:43+00:00
AFcU3psHegc,2012-03-26T08:13:43+00:00
mcYLReKfhZM,2012-03-26T08:13:43+00:00
f_i7LCxdtMA,2012-03-26T08:13:43+00:00
jDBA3-P1HUw,2012-03-26T08:13:43+00:00
y2DJeIs831Y,2012-03-26T08:13:43+00:00
yiy9sbX_5YM,2012-03-26T08:13:43+00:00
KrDoGo_KxKA,2012-03-26T08:13:43+00:00
5uJ5LVFZuog,2012-03-26T08:13:43+00:00
ZiztsR2TCT8,2012-03-26T08:13:43+00:00
9NOjTBqh4yU,2012-03-26T08:13:43+00:00
aDLrxhLQXvw,2012-03-26T08:13:43+00:00
QX-qHQ1URok,2012-03-26T08:13:43+00:00
3uzP9pULG_w,2012-03-26T08:13:43+00:00
gp3DZJELTqw,2012-03-26T08:13:43+00:00
EmZiWXWeOm0,2012-03-26T08:13:43+00:00
eLN_Oz5cfJw,2012-03-26T08:13:43+00:00
jSzOr58Hav8,2012-03-26T08:13:43+00:00





