Video ID,Playlist Video Creation Timestamp
feh-zj5qKHA,2012-10-01T05:45:59+00:00
uwMcXLyw9Bs,2012-10-01T05:45:59+00:00
 -A5DF5tPhd0,2012-10-01T05:45:59+00:00
FuMV7LSB6mg,2012-10-01T05:45:59+00:00
OcTaLmW9ykk,2012-10-01T05:45:59+00:00
YS21FzvVMfs,2012-10-01T05:45:59+00:00
pVEAS3MP1m4,2012-10-01T05:45:59+00:00
RX137IuVqSI,2012-10-01T05:45:59+00:00
l5HRtSsnXCc,2012-10-01T05:45:59+00:00
itRTnxe1Sg0,2012-10-01T05:45:59+00:00
duWqZ99fjTU,2012-10-01T05:45:59+00:00
 -Whpjts4KoM,2012-10-01T05:45:59+00:00
oukKZeRCZ0A,2012-10-01T05:45:59+00:00
iv0ODS0bASo,2012-10-01T05:45:59+00:00
yT5usq4JX9Y,2012-10-01T05:45:59+00:00
af05JzCGrgk,2012-10-01T05:45:59+00:00
yFbYbFGproM,2012-10-01T05:45:59+00:00
iEOO43BVoyU,2012-10-01T05:45:59+00:00
O78UHMwz6TA,2012-10-01T05:45:59+00:00
9BAjfOdZ_VI,2012-10-01T05:45:59+00:00
RdOcb8YSrSA,2012-10-01T05:45:59+00:00
dXn8GyHqPbw,2012-10-01T05:45:59+00:00
2sy0iSA1xUU,2012-10-01T05:45:59+00:00
enPZu_CTlMs,2012-10-01T05:45:59+00:00
beJT1ZmIzKA,2012-10-01T05:45:59+00:00
jHYwDIPVuGk,2012-10-01T05:45:59+00:00
Lgo8ZsOeMuY,2012-10-01T05:45:59+00:00
M53__MaMrpU,2012-10-01T05:45:59+00:00
4L0ziqiiF9Q,2012-10-01T05:45:59+00:00
qXXTeImVVbI,2012-10-01T05:45:59+00:00
DcIh180wsjY,2012-10-01T05:45:59+00:00
HrX8pxSfjjw,2012-10-01T05:45:59+00:00
vqC_QAWgAiU,2012-10-01T05:45:59+00:00
VQiJLEzRJIA,2012-10-01T05:45:59+00:00
nmyrN11-UQA,2012-10-01T05:45:59+00:00





