Video ID,Playlist Video Creation Timestamp
GDoVMCGbLjg,2011-06-25T08:26:44+00:00
jdzvllgQDGQ,2011-06-25T08:26:44+00:00
e3mD-4lDbFc,2011-06-25T08:26:44+00:00
T7mD7ucBvzA,2011-06-25T08:26:44+00:00
gex4gjQ-Gbc,2011-06-25T08:26:44+00:00
wcJZ5kSMol4,2011-06-25T08:26:44+00:00
45S1zaWmY2M,2011-06-25T08:26:44+00:00
jS0QSm8fNf8,2012-03-02T21:46:36+00:00
wcJZ5kSMol4,2012-03-04T16:50:30+00:00
AVf4jvtm9vo,2012-03-04T16:50:30+00:00
AVf4jvtm9vo,2012-03-15T03:43:19+00:00
LKHUi7IjMf4,2012-03-15T03:43:19+00:00
3FyVt7IuiGg,2012-03-15T03:43:19+00:00
CqmMCmfAeZ0,2012-03-15T03:43:19+00:00
Fx5knVlzbVE,2012-03-15T03:43:19+00:00
76pSP44rEW4,2012-03-15T03:43:19+00:00
36HaC14vJWo,2012-03-15T03:43:19+00:00
yu9IsdHFKzc,2012-03-15T03:43:19+00:00
_2Pdpcyh7bQ,2012-03-15T03:43:19+00:00
GE-sb8UnUtc,2012-03-15T03:43:19+00:00
CtPOddW7JzE,2012-03-15T03:43:19+00:00
WMMTzUQW5AM,2012-03-15T03:43:19+00:00
45S1zaWmY2M,2012-03-15T03:43:19+00:00
bsRH4XC7NZk,2012-03-15T03:43:19+00:00
yBinjJprv7w,2012-03-15T03:43:19+00:00
gFv89rdnmP4,2012-03-15T03:43:19+00:00
vhljIkenkpM,2012-03-15T03:43:19+00:00
cLpdgyE-WUQ,2012-03-15T03:43:19+00:00
cLpdgyE-WUQ,2012-03-26T08:13:59+00:00
jLEurnYB5hY,2012-03-26T08:13:59+00:00
jS0QSm8fNf8,2012-03-26T08:13:59+00:00
P8g5vbGBnUI,2012-03-26T08:13:59+00:00
BCzLdUJXki0,2012-03-26T08:13:59+00:00
tCzUQP2DqMo,2012-03-26T08:13:59+00:00
M7u_QkSUBk8,2012-03-26T08:13:59+00:00
TBZq4cY6Rsw,2012-03-26T08:13:59+00:00
lY5esY5GPVY,2012-03-26T08:13:59+00:00
8Duqxnoo7GQ,2012-03-26T08:13:59+00:00
3xBpA7Inks4,2012-03-26T08:13:59+00:00
BFXdr8DVjGI,2012-03-26T08:13:59+00:00
7tyrOpJ3g9k,2012-03-26T08:13:59+00:00
Xoe6xGL-LTI,2012-03-26T08:13:59+00:00
VOV31nWj1jI,2012-03-26T08:13:59+00:00
E6zX_DaYJWo,2012-03-26T08:13:59+00:00
9E8XIMa9kpI,2012-03-26T08:13:59+00:00
hZMF1TQt-PU,2012-03-26T08:13:59+00:00
uh0HM4T6q7I,2012-03-26T08:13:59+00:00





