Video ID,Playlist Video Creation Timestamp
CwpxoqvgBog,2011-06-25T08:26:57+00:00
dCYyjuep0fw,2011-06-25T08:26:57+00:00
gTJzhKs8ymI,2011-06-25T08:26:57+00:00
Csj2UMEh7RU,2011-06-25T08:26:57+00:00
i90uX1tqAHA,2012-03-04T16:50:37+00:00
xhLB85qMArg,2012-03-04T16:50:37+00:00
u4gnkuAMgrQ,2012-03-04T16:50:37+00:00
oaiEww1eLTA,2012-03-04T16:50:38+00:00
dCYyjuep0fw,2012-03-26T08:14:04+00:00
gTJzhKs8ymI,2012-03-26T08:14:04+00:00
qkhGG4KGOg0,2012-03-26T08:14:04+00:00
C7gOYoVG7-Y,2012-03-26T08:14:04+00:00
fhg8cBN1FM0,2012-03-26T08:14:04+00:00
Csj2UMEh7RU,2012-03-26T08:14:04+00:00
6msNDnlm8Co,2012-03-26T08:14:04+00:00
XPJwlZtfSMo,2012-03-26T08:14:04+00:00
i90uX1tqAHA,2012-03-26T08:14:04+00:00
j_xZuvt8zSU,2012-03-26T08:14:04+00:00
mCynobq1QcI,2012-03-26T08:14:04+00:00
0mNYExAViUc,2012-03-26T08:14:04+00:00
xhLB85qMArg,2012-03-26T08:14:05+00:00
W1ZUC23ALKo,2012-03-26T08:14:05+00:00
E3PwuwkZQTI,2012-03-26T08:14:05+00:00
i0MG2MUPwsE,2012-03-26T08:14:05+00:00
u4gnkuAMgrQ,2012-03-26T08:14:05+00:00
Eoz4yQ72j1I,2012-03-26T08:14:05+00:00
iTyGsK0jff4,2012-03-26T08:14:05+00:00
41EthZh9Mcs,2012-03-26T08:14:05+00:00
oaiEww1eLTA,2012-03-26T08:14:05+00:00
8mid6GQFECs,2012-03-26T08:14:05+00:00
v7na5xOPMS8,2012-03-26T08:14:05+00:00





