Video ID,Playlist Video Creation Timestamp
IvDUVsfXI1A,2011-06-30T19:09:21+00:00
8FpigqfcvlM,2011-11-01T13:45:38+00:00
ndkRgj6j-Pg,2011-11-01T21:55:46+00:00
g7wEJfnPbeM,2012-07-23T07:18:14+00:00
AMpA3zYWw9s,2012-10-26T20:34:18+00:00
n_fp5kaVYhk,2013-01-18T01:15:37+00:00
 -XpEjVlPFrs,2013-02-04T00:25:43+00:00
Hxy_7X_oxjc,2013-05-23T05:15:30+00:00
0VOUw9xjKTY,2013-06-19T15:10:32+00:00
hn_P9Tk9-50,2013-11-19T19:50:13+00:00
ZxbnZ1dD60A,2013-11-19T19:50:22+00:00
kHsoIsbML_0,2013-11-19T19:50:25+00:00
x-cMpS6W6l0,2013-11-19T19:50:27+00:00
YtZXQ9wVdSo,2013-11-19T19:50:32+00:00
zzaFCFY8hm8,2013-11-19T19:50:41+00:00
sARF42A4HaA,2013-11-19T19:51:34+00:00
NLC_XXZp9mM,2013-11-19T19:51:51+00:00
PAnueXU1RhE,2013-11-19T19:51:56+00:00
C9z7f6_XNN0,2013-11-20T03:10:50+00:00
Yrx--6TgLxg,2013-12-26T13:42:36+00:00
nLxHdC0FBwU,2013-12-26T15:19:03+00:00
Eud1qCRTjW0,2014-03-19T04:05:34+00:00
MGPZOkWLQ9Y,2014-03-19T04:05:52+00:00
eexH6Na7NlM,2014-03-19T04:06:11+00:00
hW2AJk574ew,2014-04-03T08:53:46+00:00
iQt09xt8yvE,2014-07-27T19:57:35+00:00
rnMudqi6TC0,2014-07-28T19:31:46+00:00
xWb_iqDfkqA,2014-08-03T21:43:38+00:00
p0m29g0k3Tg,2015-04-05T11:01:03+00:00
caJZEw2Jafo,2015-04-05T11:01:09+00:00
3rRXUOkZaHQ,2015-04-05T11:14:30+00:00
ZMAzAlHKRd0,2015-04-05T11:16:20+00:00
2Ua-Af6DAMw,2015-04-05T11:16:40+00:00
iUomSqj74TA,2019-01-26T10:44:08+00:00
Rq9nUPs2RAk,2021-04-07T13:04:03+00:00
pJ9PKQbkJv8,2023-11-18T07:28:00+00:00
DvEcwN9Ouvs,2025-06-27T03:35:50+00:00
2jOZ0T8G6Qs,2025-08-16T17:37:17+00:00
Gz4StQV5h2Q,2025-08-23T02:06:32+00:00
sp97PBWYfjo,2025-08-30T15:50:17+00:00
PM88cTxx0hw,2025-09-04T05:05:31+00:00
QwpanShgOp4,2025-09-04T05:06:49+00:00
cuzXR-5w4Qk,2025-09-30T22:50:22+00:00
Eq3bUFgEcb4,2025-10-21T07:40:44+00:00
56qSHLEJnSU,2025-10-21T08:01:07+00:00
7st1Zua27FU,2025-10-22T21:13:58+00:00
xWMVu8S-YRg,2026-04-06T08:11:08+00:00
EeCi4CSqtzw,2026-04-06T08:12:12+00:00
FCShsGCkOP4,2026-04-06T08:12:36+00:00
VYeuQv6ttSg,2026-04-09T05:29:52+00:00
ERXIM8oTMxM,2026-04-11T16:26:37+00:00
OnYSobomOMc,2026-05-16T08:27:59+00:00
OvmOe8TLWjM,2026-06-11T15:49:02+00:00
fH7sKQYu-OI,2026-06-11T16:54:35+00:00
EGv19bdLck4,2026-06-12T10:18:25+00:00





