Playlist ID,Add new videos to top,Playlist Description (Original),Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Image 2 Create Timestamp,Playlist Image 2 URL,Playlist Image 2 Height,Playlist Image 2 Width,Playlist Image 3 Create Timestamp,Playlist Image 3 URL,Playlist Image 3 Height,Playlist Image 3 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLz_UL9nXbu8pSmxAJPHTPZ7czwHodENn5,False,,,,,,,,,,,,,,AI TUTORIAL,,2026-04-06T08:17:16+00:00,2026-04-06T08:17:35+00:00,Manual,Private
PLz_UL9nXbu8oUDjX8iaus8SZJYA6kiGQO,False,,2026-05-21T03:51:15.319290755+00:00,https://yt3.googleusercontent.com/Jdutfa9VHERPRPUjHHziQxYVlwvXnjYsD0A-oI7nsYOnC5uNH5Vnu1RdL_cOYOfllYQUTyaPNTw-,1000,1000,2026-07-15T10:28:57.024492152+00:00,https://yt3.googleusercontent.com/FIal8XAXzYTsECXKNsO1S4hQjMVL2-Kim_u6d23Y5dT7vDr7P0pHeAWQj-3Ov0U1rbw8PR9g3hw,1000,1000,,,,,MILLENNIAL PARTY,,2025-04-05T01:59:22+00:00,2026-07-15T10:28:57+00:00,Manual,Public
PLz_UL9nXbu8rAzAuvT5PNM4oUWAK0h7nE,False,,,,,,,,,,,,,,Now,,2025-03-02T09:22:12+00:00,2025-03-02T09:22:12+00:00,Manual,Private
PLz_UL9nXbu8oMpQt1roqgFSp7Pt0cwmno,False,"Months in the making, this is the authoritative and official collection of The Best™ music that has been released on Apple Music",,,,,,,,,,,,,Archive ,,2025-03-02T09:22:11+00:00,2025-03-02T09:22:11+00:00,Manual,Private
PLz_UL9nXbu8ozMjz-H4DmkEprO7alLVPp,False,,,,,,,,,,,,,,POD,,2025-02-01T06:05:26+00:00,2025-02-01T06:06:56+00:00,Manual,Public
PLz_UL9nXbu8rBmM6-bgM19z924pKOyY1V,False,,,,,,,,,,,,,,Sad,,2025-01-30T06:26:13+00:00,2025-02-03T04:15:13+00:00,Manual,Public
PLz_UL9nXbu8rMR4-wSI-Li8C0cM1vJoWb,False,,,,,,,,,,,,,,Panic,,2024-12-23T05:28:53+00:00,2025-01-01T06:40:15+00:00,Manual,Public
PLz_UL9nXbu8r3yBH9rOcnve0Y1Iog1_Lb,False,Playlist converted by Soundiiz from another music platform ! https://soundiiz.com,2026-05-23T02:09:12.715426487+00:00,https://yt3.googleusercontent.com/2jy7yAPtjglgj4ABx95LUpTmlM-PGwkSimV991BhCQhqpBhSs5NZcG4U-jqSxswpRzkoPklJXPw,1000,1000,2026-07-09T08:04:21.886426183+00:00,https://yt3.googleusercontent.com/QvH4gaTC3A27N8m75UpqNOuUIsTQZ9MDE-uzSwWcVFrg_jLvoiO3JpyDgyoMSAR4jkSRn0eMeQ,1000,1000,,,,,Serato 1,,2024-11-19T07:44:24+00:00,2026-07-09T08:04:22+00:00,Manual,Private
PLz_UL9nXbu8rrB32QlH7IgT23ZSBrs6Ia,False,Playlist converted by Soundiiz from another music platform ! https://soundiiz.com,2025-05-30T23:25:24.472358926+00:00,https://yt3.googleusercontent.com/6YkOJrqAwbWNJbrlpbBi51QfKByYjME5dXU-ejfx32BRB0Ja1ma_eDo5xbwxVIt2Ty-u0EsEZCIZ,1000,1000,2026-07-10T04:10:00.415368979+00:00,https://yt3.googleusercontent.com/bR_XghnciQtTC0yYUH_5eO0pMmbUf9hInAT2h0ZZq28R_iRAlqRoXWNWCLTZ2lzLF_bYfKdNDw,1000,1000,,,,,Serato 2,,2024-11-19T07:29:43+00:00,2026-07-10T04:10:00+00:00,Manual,Private
PLz_UL9nXbu8rNhAvWLoLrwpMgVLnUOgmi,False,Playlist converted by Soundiiz from another music platform ! https://soundiiz.com,2026-07-14T02:12:30.447200953+00:00,https://yt3.googleusercontent.com/N-y44HlwgcyikAH8cyd1PN_7NOfrqfGFvIoo__JatgmoThlOVG6PVMyXtaZt16YWroImyupFawU,1000,1000,2025-05-16T19:21:03.912335455+00:00,https://yt3.googleusercontent.com/qWX49H6qsAEO4Po9zl54V3v8-cDRnQDnMvgajiLPiHY4H0zltFoj4-I8p_5vNIKeA6hGZ5649vEt,1000,1000,,,,,Archive,,2024-11-18T06:12:31+00:00,2026-07-14T02:12:30+00:00,Date Added (Oldest),Private
