Channel Id,Channel Url,Channel Title
UC--BMyA2X4a9PGAo3lTuopg,http://www.youtube.com/channel/UC--BMyA2X4a9PGAo3lTuopg,psychicpebbles
UC-3jIAlnQmbbVMV6gR7K8aQ,http://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder
UC0aanx5rpr7D1M7KCFYzrLQ,http://www.youtube.com/channel/UC0aanx5rpr7D1M7KCFYzrLQ,Shoe0nHead
UC0zYzxRCvUD5p1XWwE00Zzw,http://www.youtube.com/channel/UC0zYzxRCvUD5p1XWwE00Zzw,Matan Even
UC3XTzVzaHQEd30rQbuvCtTQ,http://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight
UC3cpN6gcJQqcCM6mxRUo_dA,http://www.youtube.com/channel/UC3cpN6gcJQqcCM6mxRUo_dA,Wendigoon
UC554eY5jNUfDq3yDOJYirOQ,http://www.youtube.com/channel/UC554eY5jNUfDq3yDOJYirOQ,Destiny
UC5fdssPqmmGhkhsJi4VcckA,http://www.youtube.com/channel/UC5fdssPqmmGhkhsJi4VcckA,Innuendo Studios
UC65g7tW_8uZ5tlLcX0pe7IQ,http://www.youtube.com/channel/UC65g7tW_8uZ5tlLcX0pe7IQ,Adam Lucidi
UC797fsP6okMRGNKEo6eiVYQ,http://www.youtube.com/channel/UC797fsP6okMRGNKEo6eiVYQ,Maverick Files
UC7Ucs42FZy3uYzjrqzOIHsw,http://www.youtube.com/channel/UC7Ucs42FZy3uYzjrqzOIHsw,EmpLemon
UC7qZ_e097NBkgOljy1joVRA,http://www.youtube.com/channel/UC7qZ_e097NBkgOljy1joVRA,The Daily Beast
UC8_P14XzTUxP93hXPyZnGbg,http://www.youtube.com/channel/UC8_P14XzTUxP93hXPyZnGbg,Dasia Sade
UC8oMvYlwaS7m5VpMwOTvgzw,http://www.youtube.com/channel/UC8oMvYlwaS7m5VpMwOTvgzw,Tor's Cabinet of Curiosities
UC9fiHm54bmH9LWBbjBJGOFg,http://www.youtube.com/channel/UC9fiHm54bmH9LWBbjBJGOFg,Banksy NY
UCBiuljj5uaUVHbnTAzfvutg,http://www.youtube.com/channel/UCBiuljj5uaUVHbnTAzfvutg,HGTV
UCC_w8GsmIp-6dHhdVHqcVgg,http://www.youtube.com/channel/UCC_w8GsmIp-6dHhdVHqcVgg,Belief It Or Not
UCCzLNULTAY6A6svwgMFlWWA,http://www.youtube.com/channel/UCCzLNULTAY6A6svwgMFlWWA,Shake Junt
UCDRIjKy6eZOvKtOELtTdeUA,http://www.youtube.com/channel/UCDRIjKy6eZOvKtOELtTdeUA,Breaking Points
UCEtB-nx5ngoNJWEzYa-yXBg,http://www.youtube.com/channel/UCEtB-nx5ngoNJWEzYa-yXBg,FilmJoy
UCG1OIoLEjzyjkXA8MHQyiQw,http://www.youtube.com/channel/UCG1OIoLEjzyjkXA8MHQyiQw,Tom Delgado
UCG1uayRlzz3ahT8ISRdyw7Q,http://www.youtube.com/channel/UCG1uayRlzz3ahT8ISRdyw7Q,Genetically Modified Skeptic
UCG5h8yHSUS4n7zPnh0dG0SA,http://www.youtube.com/channel/UCG5h8yHSUS4n7zPnh0dG0SA,Georg Rockall-Schmidt
UCGLkYhkzXOp3bOLdHuEiuFw,http://www.youtube.com/channel/UCGLkYhkzXOp3bOLdHuEiuFw,glenjamn3
UCGSGPehp0RWfca-kENgBJ9Q,http://www.youtube.com/channel/UCGSGPehp0RWfca-kENgBJ9Q,JREG
UCGttrUON87gWfU6dMWm1fcA,http://www.youtube.com/channel/UCGttrUON87gWfU6dMWm1fcA,Tucker Carlson
UCI4dgGExY7iyfO-jhj0MyDg,http://www.youtube.com/channel/UCI4dgGExY7iyfO-jhj0MyDg,Galactic Service
UCIh6suDBrM7H8kIiiHkYXfA,http://www.youtube.com/channel/UCIh6suDBrM7H8kIiiHkYXfA,Materialisimo
UCJPHc5wprYeNF0K5ITwPBgA,http://www.youtube.com/channel/UCJPHc5wprYeNF0K5ITwPBgA,Behind the Bastards
UCJkMlOu7faDgqh4PfzbpLdg,http://www.youtube.com/channel/UCJkMlOu7faDgqh4PfzbpLdg,Nerdwriter1
UCK-GxvzttTnNhq3JPYpXhqg,http://www.youtube.com/channel/UCK-GxvzttTnNhq3JPYpXhqg,Sarah Z
UCK_VrSXB5G4gOVOcGC6INxA,http://www.youtube.com/channel/UCK_VrSXB5G4gOVOcGC6INxA,Death Drive Dialectics
UCLNw2JNuTUWFdilpzOXLa5A,http://www.youtube.com/channel/UCLNw2JNuTUWFdilpzOXLa5A,Bad Faith
UCMHtVwCWo88DFzF6PikFOfQ,http://www.youtube.com/channel/UCMHtVwCWo88DFzF6PikFOfQ,Kofie
UCMX31RavkfUHJvw03RbUZnA,http://www.youtube.com/channel/UCMX31RavkfUHJvw03RbUZnA,Nick Crowley
UCMXqRHe8n1TX5iDvkLS62rw,http://www.youtube.com/channel/UCMXqRHe8n1TX5iDvkLS62rw,Right Wing Watch
UCNRFvq0JOm5VqHIBDDQgkMA,http://www.youtube.com/channel/UCNRFvq0JOm5VqHIBDDQgkMA,TAETRO
UCNvsIonJdJ5E4EXMa65VYpA,http://www.youtube.com/channel/UCNvsIonJdJ5E4EXMa65VYpA,ContraPoints
UCOZZv7W5wToOEVzFBUe8z4A,http://www.youtube.com/channel/UCOZZv7W5wToOEVzFBUe8z4A,Max Koch
UCPSGGjY1tWmMd8O2WiEjgYg,http://www.youtube.com/channel/UCPSGGjY1tWmMd8O2WiEjgYg,overboardhumor
UCQghs3tMyfXBFIIpA7DI3eQ,http://www.youtube.com/channel/UCQghs3tMyfXBFIIpA7DI3eQ,DylanBurnsTV
UCRCOCvfOkoqneyQCbNOUPwg,http://www.youtube.com/channel/UCRCOCvfOkoqneyQCbNOUPwg,The FADER
UCTOimflPhFe_NSQsIsak-Lw,http://www.youtube.com/channel/UCTOimflPhFe_NSQsIsak-Lw,Barely Informed with Elad
UCTpif6xVVZpKIq4iSFYF-9g,http://www.youtube.com/channel/UCTpif6xVVZpKIq4iSFYF-9g,Mike From PA
UCUXBl9Kar4ty2WWR-EVy9OQ,http://www.youtube.com/channel/UCUXBl9Kar4ty2WWR-EVy9OQ,Frunkis
