Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
JQHzTj8qC7Y,202000,Sports,"One of the classic, original 4bi9 edits. 
Pulled from RoundtopRiders.com in 2007 when everything was jokes and shit.

Tom Wallisch
Steve Stepp
Kyle Barnoff
SPECIAL GUEST: Taylor Seaton (www.taylorseaton.com)",UC2ivwKiOnpQPvzkb-XR5ICA,Skiing,Mammoth,Freeskiing,Tanner,Hall,Simon,Dumont,Steve,Stepp,Tom,Wallisch,Superunknown,Jib,4bi9,mammoth,zoolander,edit,skiing,Snow,Snow Sports,Winter,Simon Dumont (Person),Snowboard,Snowboarding,Jump,Parody,Funny,Comedy,Mountain,Skateboarding,Powder,Spoof,Freestyle,Board,"4bi9 Mammoth Edit (Zoolander Parody) - Steve Stepp,Tom Wallisch",Public,Processed,2006-07-14T16:27:23+00:00,2006-07-14T16:29:12+00:00
MGxSQ8P1XzA,66000,Comedy,"Crazy guy singing ""New York, New York""",UC2ivwKiOnpQPvzkb-XR5ICA,Ltrain,Train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crazies @ Bedford L,Private,Processed,2011-09-27T14:17:06+00:00,2011-09-27T14:18:43+00:00
UpDdk2UlP5g,83000,People,"This spritely ambassador of NYC spends his mornings singing the hook to Frank Sinatra's ""New York, New York"" over and over again (he doesn't know the rest of the song.)

You can routinely see him at the Bedford L station during morning rush-hour.",UC2ivwKiOnpQPvzkb-XR5ICA,Bedford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""New York, New York"" Guy at Bedford L",Private,Processed,2011-09-27T14:21:30+00:00,2011-09-27T14:24:08+00:00
6o8sYgcbGqQ,3221000,Entertainment,,UC2ivwKiOnpQPvzkb-XR5ICA,#hangoutsonair,Hangouts On Air,#hoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLOPPP BEDROOM SESSION TEST FEED,Unlisted,Processed,2014-08-14T01:45:42+00:00,2014-08-14T02:53:12+00:00
DAs9Q6kqm-4,2181000,Entertainment,,UC2ivwKiOnpQPvzkb-XR5ICA,#hangoutsonair,Hangouts On Air,#hoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLOPPP (HOPEFULLY) LIVE SET,Private,Processed,2014-08-14T02:47:45+00:00,





