Video ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4
UWC4X_rTRsA,1999,1999,Prince,,,
VbDJGnOknsQ,30 Minutes to Orleans,Street Runnaz 54,Lil Wayne,,,
DYf28lOb8KU,Animals (Radio Edit),Animals,Martin Garrix,,,
z8WunrI7yh0,Art Is Dead,Words Words Words,Bo Burnham,,,
xCdgGd3VXVo,Beauty in Thirds,Modulus,T-Mass,,,
HInIGGXhJHs,Big Brother,Graduation,Kanye West,,,
FgO_pvl4Gfk,Born To Die,Born To Die - The Paradise Edition (Special Version),Lana Del Rey,,,
jrWflCJPM4w,California Uber Alles,Give Me Convenience or Give Me Death,Dead Kennedys,,,
R5uoxivoSSo,Chonkyfire,Aquemini,Outkast,,,
6DypQf-N33k,CoCo (MAKJ Remix),CoCo: The Global Remixes,O.T. Genasis,,,
HcMYpvPBlrA,Flagpole Sitta,Born In The 90s Forever Young,Harvey Danger,,,
sVt1Dy_LblQ,Flagpole Sitta,Where Have All The Merrymakers Gone?,Harvey Danger,,,
LQ9PERtqXoA,Fuckin' up the Count,Shadow of a Doubt,Freddie Gibbs,,,
uMmgumppmbg,"God, Steve McQeen ""The Work Song""",Shave The Planet,Guttermouth,,,
TwPCaWQIJME,Gone,Late Registration,Kanye West,,,
WwYbTxOZF0k,Good Morning,Graduation,Kanye West,,,
QhQROD8QHvU,Goosebumpz (Bonus Track),Watching Movies with the Sound Off (10th Anniversary),Mac Miller,,,
KvlUkAtFIxs,Heart Of A Lion (Kid Cudi Theme Music),Man On The Moon: The End Of Day,Kid Cudi,,,
Bb3YbUBB0zI,I Don't Like,Finally Rich,Chief Keef,Lil Reese,,
66pvlE9SK6g,I'm God,6 Kiss,Lil B,,,
uSJznJPLamA,Linoleum,Punk In Drublic,NOFX,,,
11BlEYtj53Q,Liquid Swords,Liquid Swords,GZA,,,
rGAegeeGO74,LoveSick (Super Nintendo),The Nothing,Johnny Polygon,,,
mT4xWPHM8SE,Mercy.1,Kanye West Presents Good Music Cruel Summer,Kanye West,Big Sean,Pusha T,2 Chainz
mT8zeoRdwcY,Miracle,Miracle,A Day To Remember,,,
Jiy2R9whqdA,Norf Norf,Norf Norf,Vince Staples,,,
8p9joNxG3mc,Orions Belt,The Golden ALiEN,RiFF Raff,,,
V050LlMWgnE,Punisher,MONO,K.Flay,,,
84vE-yN3Hrs,Sandwitches,Goblin,"Tyler, The Creator",Hodgy Beats,,
9TscNjSU8P4,The Call,Black & Blue,Backstreet Boys,,,
XUKyV49P8F0,Time to Pretend,Oracular Spectacular,MGMT,,,
tuaSfBDoiQk,When The World Was At War We Kept Dancing,Lust For Life,Lana Del Rey,,,
Q3_vX-I16I0,You & Me (Flume Remix),Settle (Special Edition),Disclosure,Eliza Doolittle,,





